"","H4K8ac","H4K12ac","H3K18acK23ac","H3K27meK36me2","H4K5ac","H2A1BK15ac","H3K9me2","H3K9me3K14ac","H3K9me3","H4K5acK8ac","H1.2K33ac","H3K36me2","H3K23su","H3K9meK14ac","H3K9ac","H3K4me","H3K9me2K14ac","H2A1AK5ac","H3K9acK14ac","H4K8acK12acK16ac","H4K12acK16ac","H4K5acK16ac","H4K8acK16ac","H4K5acK8acK16ac","H4K5acK8acK12acK16ac","H4K5acK12acK16ac","H3K9me","H3K27me2K36me","H3K79me","H3K14ac","H4K5acK12ac","H3K18ac","H4K5acK8acK12ac","H2AJK5acK9ac","H2AJK5acT6ac","H3K23ac","H4K8acK12ac","H1.5K33ac","H1K25me","H4K16ac"
"H1.2K33ac",,,,,,,,,,,1,0.890207715133531,1,0.00615384615384615,0.256507936507936,0,0.309253731343284,0,1,1,0.376158940397351,0.0594871794871795,0.054025974025974,0.968772845953003,0.131368421052632,0.570467289719626,1,1,1,1,1,1,0.449882352941177,1,0.339710144927536,1,0.989127182044888,1,0.998019801980198,0.773154362416107
"H3K36me2",,,,,,,,,,,,1,0.651707317073171,0.859076923076923,1,0.383157894736842,0.558490566037736,0.514818652849741,0.418385093167702,0.303030303030303,1,0.0383098591549296,0.54552380952381,0.282790697674419,0.032463768115942,0,1,1,0.303030303030303,1,0.0721951219512195,0.0032,1,1,1,0.859076923076923,0.94120218579235,0.919776536312849,1,1
"H3K23su",,,,,,,,,,,,,1,0.282790697674419,1,0.336350364963504,0.514818652849741,0,0.914733893557423,0,0.663399209486166,0,0.743859649122807,0,0.767671232876712,1,1,1,1,1,1,0.584035874439462,1,0.0032,0.372972972972973,0.621694915254237,0.621694915254237,1,1,0.0742857142857143
"H3K9meK14ac",,,,,,,,,,,,,,1,0,0.446666666666667,0.989127182044888,0.676307692307692,1,0.508936170212766,1,1,0.1584,0.989127182044888,0.651707317073171,0.693132075471698,0.740213523131673,1,0.0110344827586207,0.394871794871795,1,0.418385093167702,0.846222222222222,1,0.0668354430379747,0.873128834355828,0.187428571428571,1,0.0305882352941176,0.584035874439462
"H3K9ac",,,,,,,,,,,,,,,1,0.353142857142857,1,1,1,1,0.371156462585034,1,0.808284789644013,0.450404624277457,1,1,0.928356545961003,1,0.891563421828909,1,0.0762790697674419,0.962986666666667,0.336350364963504,1,1,1,1,1,0.914733893557423,0.938842975206612
"H3K4me",,,,,,,,,,,,,,,,1,1,0.661587301587302,1,0.520205128205128,0.890207715133531,0,0,1,0.962986666666667,0,0.981030927835051,1,0.00615384615384615,1,1,0.0732530120481928,1,0.578348623853211,0.11956043956044,0.45854748603352,0.207142857142857,1,0.414591194968553,0.212881355932203
"H3K9me2K14ac",,,,,,,,,,,,,,,,,1,0.592413793103448,0.850473186119874,0.210973451327434,0.890207715133531,1,0.943089430894309,1,0.701090909090909,0.821980830670926,1,1,0.74815331010453,1,0.701090909090909,0.52807881773399,0.584035874439462,0.442634730538922,0.808284789644013,1,1,1,1,0.508936170212766
"H2A1AK5ac",,,,,,,,,,,,,,,,,,1,1,0,1,0.194594594594595,0,0,0.0032,0,0.755555555555556,1,0.00872727272727273,0.892361516034985,0.788382838283828,0.0133333333333333,1,0.634644351464435,1,1,1,1,0.891563421828909,0.376158940397351
"H3K9acK14ac",,,,,,,,,,,,,,,,,,,1,0.859076923076923,0.0463157894736842,0,0,1,0.46939226519337,0,1,1,0.0133333333333333,1,0.0246153846153846,0.230082644628099,1,1,0.808284789644013,1,0.52807881773399,1,1,0.115555555555556
"H4K8acK12acK16ac",,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0.355177304964539,0,0.859076923076923,0.659277108433735,1,0.315259259259259,0.258267716535433,1,0,1,0.387096774193548,0.46939226519337,1,1,1,1
"H4K12acK16ac",,,,,,,,,,,,,,,,,,,,,1,0,1,0,0.189357798165138,0,1,1,1,1,0.545071770334928,1,1,1,1,0.711111111111111,0.902196531791908,1,0.94304347826087,1
"H4K5acK16ac",,,,,,,,,,,,,,,,,,,,,,1,0,0.0032,0.890207715133531,0,1,1,0.676307692307692,1,0.358356164383562,0.356923076923077,0.671372549019608,1,1,0.0110344827586207,1,1,1,1
"H4K8acK16ac",,,,,,,,,,,,,,,,,,,,,,,1,0,0.0463157894736842,0,1,1,0.671372549019608,1,0.571111111111111,0.188411214953271,1,1,0.130752688172043,0.2496,1,0.571111111111111,0.166274509803922,1
"H4K5acK8acK16ac",,,,,,,,,,,,,,,,,,,,,,,,1,0.358356164383562,0,1,0.526633165829146,0.989127182044888,0.215126050420168,1,0.0032,0.584035874439462,1,1,0.194594594594595,1,1,1,1
"H4K5acK8acK12acK16ac",,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.476483516483517,1,0.47827027027027,0.0110344827586207,1,1,1,1,0.962986666666667,1,1,0.0032
"H4K5acK12acK16ac",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.965065963060686,0.909425287356322,1,0,0.0463157894736842,1,1,0.892361516034985,0.649958506224066,1,1,0.965065963060686,1
"H3K9me",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.356923076923077,1,0.955687331536388,0.50494623655914,1,1,1,1,0.661587301587302,1,0.893488372093023,0.674108527131783
"H3K27me2K36me",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.853333333333333,1,0.75766323024055,0.212869565217391,0.56112676056338,0.148571428571429,1,1,1,1,1,0.2496
"H3K79me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.914733893557423,0.222666666666667,0.968772845953003,0.072,1,0.693132075471698,1,0.701037037037037,1,0.212881355932203,1
"H3K14ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.476502732240437,0.450404624277457,0.526633165829146,0.769419795221843,1,1,0.808284789644013,1,0.971191709844559,0.808284789644013
"H4K5acK12ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.44144578313253,0.212881355932203,0.902196531791908,0.847088607594937,0.782458471760797,1,1,1,1
"H3K18ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.892361516034985,0.148571428571429,0.476521739130435,0.989127182044888,1,0.684580152671756,0.0721951219512195
"H4K5acK8acK12ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.173980582524272,0.289230769230769,1,0.0762790697674419,1
"H2AJK5acK9ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.592413793103448,1,1,1,0.989127182044888,1
"H2AJK5acT6ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.654898785425101,0.680459770114943,1,0,1
"H3K23ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.621694915254237,1,0.962986666666667
"H4K8acK12ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.386928104575163,1
"H1.5K33ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.890207715133531,0.00872727272727273
"H1K25me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.238688524590164
"H4K16ac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
