"","H3K9acK14ac","H3K9ac","H4K5acK16ac","H4K8acK16ac","H4K12acK16ac","H2A1AK5ac","H4K5acK8acK12acK16ac","H4K8acK12acK16ac","H4K5acK8acK16ac","H4K5acK12acK16ac","H3K4me","H1.2K33ac","H3K36me2","H3K14ac","H4K5acK12ac","H3K23ac","H4K5acK8ac","H4K8acK12ac","H3K9me2K14ac","H3K23su","H3K9meK14ac","H4K8ac","H4K5ac","H4K12ac","H2A1BK15ac","H3K18ac","H3K18acK23ac","H3K79me","H3K9me","H4K5acK8acK12ac","H2AJK5acK9ac","H2AJK5acT6ac","H3K27meK36me2","H3K27me2K36me","H3K9me2","H3K9me3K14ac","H3K9me3","H4K16ac","H1K25me","H1.5K33ac"
"H3K4me",0.00322516147576343,0.000314402742462245,2.66175286760439e-08,6.17303099465229e-09,4.79903264286179e-09,3.04710311117664e-10,1.44511622157179e-07,1.69898947236653e-12,1.50063365634242e-10,5.58195115525608e-13,0,4.400160578913e-08,1.18985465101428e-07,0.069895908834095,0.000482792087406482,0.606913959813893,0.00319411149247657,0.204017971448436,0.0188060941298798,0.00350506713550197,0.89577857711718,0.652963014515674,0.154286883936784,1.47495184045192e-06,0.705451298044473,0.468295315854356,0.371047269676447,0.832021958031066,0.0825137239897697,0.301193763675538,0.560984292209086,0.000117828220367496,0.00033147170800091,8.22377946177648e-06,0.00028290973125483,1.68902602503853e-06,0.8831067589611,0.178788444670935,0.0111373092447608,0.265302645097373
"H1.2K33ac",0.00514796814169599,0.0048890002252088,4.80433719460674e-05,0.000341270105847849,5.70306350520556e-05,5.88912310306584e-06,5.99316938811472e-05,1.22197181420187e-07,1.35747600788474e-05,8.45768815713777e-07,4.400160578913e-08,0,5.69483686095398e-09,0.0959248061712409,0.00296764608514834,0.550874027819289,0.00846964583382719,0.266053802776938,0.0073967557473754,1.71905793849575e-07,0.102472770792057,0.831745444616656,0.0885616902570316,0.000652540913616164,0.00621482003183216,0.264801468966704,0.808691540688634,0.143190973549243,0.355544864176116,0.796962988302363,0.671366722111514,0.0358991196925467,1.00253969041027e-05,2.34705178230726e-06,2.79084962260576e-05,0.000171757009854314,0.535616084854453,0.890997151061533,0.0127606980684074,0.286710014611935
"H3K36me2",0.00394089290609417,0.00102899129514539,0.000198350690803509,0.000294510826530133,3.37309740236953e-06,0.000132978982615481,9.54508292807564e-05,2.03624241629619e-07,3.78075275986509e-05,5.71625447020501e-06,1.18985465101428e-07,5.69483686095398e-09,0,0.0557419551155556,0.0802441637340805,0.000518871663426031,0.000141112987294667,0.331757807666702,9.90316823594243e-06,4.32109048211934e-06,0.0846216972960022,0.677909129308526,0.00035320593010512,0.000335494961066618,0.0169377963941497,0.505807248890346,0.00861210954297376,0.0417687782539369,0.824066799833676,0.227028821095631,0.0193159670200855,0.125755250406328,4.06330998761385e-21,8.99753347789782e-13,5.96315043743403e-09,8.38725607552251e-07,0.515139117184802,0.462002980127593,0.171374828337864,0.543899738261223
"H3K14ac",0.0175462118529343,0.0103383127808356,0.00104513971888019,0.0045892918057555,0.00451614111585111,0.0018840903865846,0.00215350869849489,0.0053058826683993,0.000471411462050271,0.000212047645671455,0.069895908834095,0.0959248061712409,0.0557419551155556,0,0.012197438767702,0.0172319511092856,0.164441824479535,0.10490091812014,0.2868281035981,0.163364066207025,0.0434785783632366,0.133510689210313,0.125263618435676,0.643509733147794,0.261530571129675,0.342444271076509,0.477815646607844,0.136868750173082,0.583171629043598,0.252192778746141,0.00384377276270441,0.330367267639244,0.159890063004894,0.111644312644639,1.96807987774781e-10,4.91657539793288e-06,0.00445587138029717,0.0558036983221273,0.414390099834136,0.00715556522329313
"H4K5acK12ac",0.000413539617161604,0.0577551491143993,0.000317997623634502,0.000333689420329788,0.000325566790333534,0.00647849290689426,0.0204201015171711,0.000489249874354861,0.00989471520716599,0.00141704953552474,0.000482792087406482,0.00296764608514834,0.0802441637340805,0.012197438767702,0,0.396969982382969,0.887365400200137,0.552533113950124,0.869494492648575,0.123382533881404,0.0860161560125252,0.000305893656678402,0.0301056109113395,0.3215093262353,0.527135262690741,0.0430438882575737,0.125735060074959,0.752416969581518,0.566674711484752,0.199050493505908,0.397175477683232,0.0314164626718167,0.510110407553703,0.0495758581209981,0.0148837783924729,0.00135600919337122,0.237166529522891,0.340309087682936,0.642181115912002,0.33916361508261
"H3K23ac",0.00022654590049526,0.00437075567727589,0.00487352439101645,0.0539472522858216,0.00625336027737715,0.149166311035253,0.0419124710526491,0.0842289034964985,0.0283313003417865,0.0540280292395226,0.606913959813893,0.550874027819289,0.000518871663426031,0.0172319511092856,0.396969982382969,0,0.000240374994056611,1.82388903273359e-05,0.000547391417449838,0.00302734858712251,0.00938625573949792,0.138296855978755,0.399834356377383,0.583087214135144,0.368660438460854,0.0445014543519342,1.603569575054e-07,0.00164015016438315,0.494745822584849,0.452807929297102,0.437527161906262,0.881124927372797,0.00186499393061651,0.0058562532998821,6.34327832447199e-06,0.00561066550363691,0.342716846616516,0.22643497172966,0.742660929062743,0.60475094027273
"H4K5acK8ac",0.0118222560745926,0.0003329297851665,0.0057017825811829,0.0249122815738753,0.00117628412810867,0.0217073553838137,0.00357644176529348,0.0020255720434314,0.000100341524586298,0.000936534795556975,0.00319411149247657,0.00846964583382719,0.000141112987294667,0.164441824479535,0.887365400200137,0.000240374994056611,0,3.25848618612163e-06,0.00126709282447369,0.0104288919057547,0.00873150565407954,0.387846148263159,0.392693922864944,0.188845497226318,0.305957551052195,0.0130819269368776,0.0744451672374019,0.115677084063135,0.0495175164697091,0.862129089158884,0.0350794093618589,0.278805205277267,0.0114031575683118,0.000293699386599871,0.000183547293086088,0.0230159077954866,0.486757064995486,0.257656228785263,0.337240199695408,0.676148923137903
"H4K8acK12ac",4.22699989194487e-06,0.000156895077494711,0.00602493671957223,0.0621549978059866,0.00954544930095818,0.599890707675942,0.0756314571976581,0.0767778009734784,0.0146253400521949,0.0093904406088217,0.204017971448436,0.266053802776938,0.331757807666702,0.10490091812014,0.552533113950124,1.82388903273359e-05,3.25848618612163e-06,0,0.0327811899833853,0.182473640011053,0.0207991797418082,0.00490905148725129,0.123157950070755,0.0161067675668499,0.038239329922618,0.00507200783692016,0.478500228771523,0.301711215269666,0.31687449158158,0.621485455442872,0.537024793354763,0.84478119282418,0.469657393207299,0.284168526494927,0.000389810791376996,0.0217826350942124,0.271380930056776,0.061448995028967,0.850684324164984,0.866654598214127
"H3K9me2K14ac",0.0780332628995502,0.00431890826259775,0.000339315638807537,0.00117387354977395,8.52117897593197e-05,0.000124618761811258,0.000459296982396481,0.000206604295743359,1.62532510752286e-05,6.74019959466122e-05,0.0188060941298798,0.0073967557473754,9.90316823594243e-06,0.2868281035981,0.869494492648575,0.000547391417449838,0.00126709282447369,0.0327811899833853,0,0.00214588885225828,0.000667516610518883,0.301677897080196,0.0633434597466043,0.205612423647513,0.0457624967533956,0.0796229926544135,0.679820587231604,0.373995481296026,0.0217528596286912,0.879233044468701,0.0697720040026905,0.511129307561015,0.000743627616456727,0.000163760519760854,0.00425741741276597,0.0171005404431844,0.020124758497218,0.682825626015599,0.62333507183749,0.598312673964815
"H3K23su",0.0010181979131584,0.00185746128903745,3.17468585779017e-05,0.00105404997605203,6.51320608862435e-06,6.66954918632126e-05,3.78471912056288e-07,2.57460153671673e-07,4.62642200090376e-06,4.1609430718236e-05,0.00350506713550197,1.71905793849575e-07,4.32109048211934e-06,0.163364066207025,0.123382533881404,0.00302734858712251,0.0104288919057547,0.182473640011053,0.00214588885225828,0,0.000489546573566682,0.799685592153495,0.22235748838318,0.0138619828334035,0.240899661539765,0.567854007758698,0.180337167010597,0.530836916030982,0.955271689118882,0.0272499992325763,0.145565823098954,0.000359729035212142,0.00062427123086558,3.72876876624472e-05,1.83096975309443e-05,6.51251101540313e-05,0.860427073999995,0.298347261119288,0.0644549048385883,0.732677836036897
"H3K9meK14ac",0.0847104809920714,0.00267621197583757,0.0142166958859911,0.100506567954835,0.00830722426475697,0.188491904013291,0.00778301902786059,0.0339152776516164,0.0126133349875151,0.0254182616156337,0.89577857711718,0.102472770792057,0.0846216972960022,0.0434785783632366,0.0860161560125252,0.00938625573949792,0.00873150565407954,0.0207991797418082,0.000667516610518883,0.000489546573566682,0,0.2597865784329,0.863082969255944,0.615566274917374,0.0512652625454043,0.0793083009833204,0.829556918382978,0.737072891528256,0.571615447288242,0.592671594151439,0.276370641179902,0.647126073767293,0.0517092034542355,0.405952120106514,0.000145167662950535,0.00149635288764064,0.0491812042883242,0.0380769536116236,0.783036995164998,0.971429123331033
"H4K8ac",1.11020996006338e-07,1.19725574959365e-05,0.000486418032259669,0.00238960584325784,0.00124495896181359,0.520377890917134,0.384414789992318,0.189023101116822,0.0997078677789962,0.0402406891325726,0.652963014515674,0.831745444616656,0.677909129308526,0.133510689210313,0.000305893656678402,0.138296855978755,0.387846148263159,0.00490905148725129,0.301677897080196,0.799685592153495,0.2597865784329,0,1.29730584987436e-06,4.78256723925232e-08,0.62786986009686,0.352305027728474,0.00854802507846813,0.545820980393097,0.404838170477389,0.536664477556536,0.82233581383707,0.15278773008201,0.99690645938912,0.812723272894461,0.0962315637503687,0.00223436293204622,0.000764635474701761,0.211637343790977,0.910332507278402,0.993297419627181
"H4K5ac",0.00449135477915112,0.0204082238235495,0.0547283479660897,0.135085241817055,0.492465111890593,0.982839208113978,0.934512067768711,0.573179969037163,0.769189997119749,0.603474874227639,0.154286883936784,0.0885616902570316,0.00035320593010512,0.125263618435676,0.0301056109113395,0.399834356377383,0.392693922864944,0.123157950070755,0.0633434597466043,0.22235748838318,0.863082969255944,1.29730584987436e-06,0,3.9911864691189e-09,0.146420678460274,0.0357007570837095,3.76343680331939e-05,0.0214527259795793,0.017068369205621,0.00265076644884944,0.0813691552412081,0.493655742672004,0.000507775582704292,0.00671113108518152,0.52747445481253,0.198144373681,5.27973992331356e-05,0.0802593829874069,0.544451417041747,0.839220428758721
"H4K12ac",0.0180805800125478,0.252670325920939,0.314918656950967,0.207956797636511,0.123459011169462,0.000138541126749997,0.00470815800536938,0.000568103079095177,0.00277362706491222,0.0156733973794166,1.47495184045192e-06,0.000652540913616164,0.000335494961066618,0.643509733147794,0.3215093262353,0.583087214135144,0.188845497226318,0.0161067675668499,0.205612423647513,0.0138619828334035,0.615566274917374,4.78256723925232e-08,3.9911864691189e-09,0,0.94418189007145,0.984884580633242,0.0173289630587507,0.249399604429745,0.0989400644513575,0.138869899539848,0.570290599946103,0.016321969061343,0.00375180859558944,0.00241487534034425,0.422935786659789,0.904359146941849,0.00192715171828905,0.000578895190264505,0.0253645635960798,0.834708421419563
"H2A1BK15ac",0.642848683796954,0.363113363323044,0.906382391041658,0.710100176076389,0.386726993223977,0.88128517679683,0.809178560674596,0.512332268139513,0.938874721961705,0.583529180400314,0.705451298044473,0.00621482003183216,0.0169377963941497,0.261530571129675,0.527135262690741,0.368660438460854,0.305957551052195,0.038239329922618,0.0457624967533956,0.240899661539765,0.0512652625454043,0.62786986009686,0.146420678460274,0.94418189007145,0,0.0470492756298876,0.341446640261821,0.276350267830939,0.0414276642087863,0.308309715882904,0.00322401479839573,0.0184112185239645,0.0824714671041402,0.0210647596831071,0.0179378813339889,0.270765793681712,0.184120427941596,0.0905455293626329,0.0567805545945307,0.80438874336763
"H3K18ac",0.918369319544091,0.183630401569398,0.425427486663432,0.140789679776406,0.608877159213957,0.170020400122329,0.705236335006499,0.294239221989755,0.464724464550035,0.543580066072286,0.468295315854356,0.264801468966704,0.505807248890346,0.342444271076509,0.0430438882575737,0.0445014543519342,0.0130819269368776,0.00507200783692016,0.0796229926544135,0.567854007758698,0.0793083009833204,0.352305027728474,0.0357007570837095,0.984884580633242,0.0470492756298876,0,0.0168280082760647,0.434398177341672,0.149365015599259,0.0794400744581701,0.0988777164355177,0.0102147475182903,0.210631909805763,0.840892153478946,0.63541760686825,0.636095032391999,0.363760406213842,0.211292452853349,0.18292553969518,0.200975384690186
"H3K18acK23ac",0.063712854666555,0.0526294082524525,0.00729093622107141,0.0193883720850625,0.121241600064658,0.115361285132382,0.0638353076889145,0.147337824185053,0.0625452965564141,0.0179883378783015,0.371047269676447,0.808691540688634,0.00861210954297376,0.477815646607844,0.125735060074959,1.603569575054e-07,0.0744451672374019,0.478500228771523,0.679820587231604,0.180337167010597,0.829556918382978,0.00854802507846813,3.76343680331939e-05,0.0173289630587507,0.341446640261821,0.0168280082760647,0,0.000267590909867744,0.0692151859797862,0.0454124717213763,0.0177546123256173,0.196654053333592,0.00290731728468133,0.0787021531921899,0.533242119637205,0.0734270223092967,8.27642118084934e-05,0.0522601171981176,0.20189096698023,0.34030126882079
"H3K79me",0.749855401689514,0.974475776052691,0.617989923972139,0.283457487824876,0.371483413839579,0.853186793492771,0.574544976745993,0.747049072828289,0.78076883059469,0.603115231099182,0.832021958031066,0.143190973549243,0.0417687782539369,0.136868750173082,0.752416969581518,0.00164015016438315,0.115677084063135,0.301711215269666,0.373995481296026,0.530836916030982,0.737072891528256,0.545820980393097,0.0214527259795793,0.249399604429745,0.276350267830939,0.434398177341672,0.000267590909867744,0,0.227502223357499,0.087815694747602,0.0359539081616504,0.443446970801135,0.210223868947017,0.0086251197635593,0.279362252280451,0.487335533612673,0.156654732679671,0.403194665956427,0.436220178449604,0.970681387752651
"H3K9me",0.030503889416509,0.811814879271471,0.214030589679229,0.516663364756066,0.635637391683111,0.40517037059487,0.161692711506887,0.721029498475988,0.935567547953681,0.893887594598644,0.0825137239897697,0.355544864176116,0.824066799833676,0.583171629043598,0.566674711484752,0.494745822584849,0.0495175164697091,0.31687449158158,0.0217528596286912,0.955271689118882,0.571615447288242,0.404838170477389,0.017068369205621,0.0989400644513575,0.0414276642087863,0.149365015599259,0.0692151859797862,0.227502223357499,0,0.00204221084430107,4.22307503097351e-05,0.10577387299547,0.906774791941871,0.379899212516389,0.575683846791424,0.0099093148094919,0.0310184812802317,0.823072862074107,0.748070261658874,0.74781850679463
"H4K5acK8acK12ac",0.00362000315228584,0.253645425087485,0.00812660566696452,0.0280226514088444,0.114434951461089,0.0200525262214404,0.00468791466990305,0.0203458487341356,0.0264798870172139,0.0185723690560749,0.301193763675538,0.796962988302363,0.227028821095631,0.252192778746141,0.199050493505908,0.452807929297102,0.862129089158884,0.621485455442872,0.879233044468701,0.0272499992325763,0.592671594151439,0.536664477556536,0.00265076644884944,0.138869899539848,0.308309715882904,0.0794400744581701,0.0454124717213763,0.087815694747602,0.00204221084430107,0,1.61549864420419e-05,0.0425603750844428,0.0374878784615235,0.987681723292645,0.196125437976743,0.0271984112420602,0.00250260734908336,0.0783031852744944,0.275779078556786,0.447383369845015
"H2AJK5acK9ac",0.0344416247553156,0.538431108679288,0.325804501013743,0.593373436098759,0.78745327575123,0.29959374189488,0.164343246835801,0.435894699700471,0.914862004149079,0.992351992863582,0.560984292209086,0.671366722111514,0.0193159670200855,0.00384377276270441,0.397175477683232,0.437527161906262,0.0350794093618589,0.537024793354763,0.0697720040026905,0.145565823098954,0.276370641179902,0.82233581383707,0.0813691552412081,0.570290599946103,0.00322401479839573,0.0988777164355177,0.0177546123256173,0.0359539081616504,4.22307503097351e-05,1.61549864420419e-05,0,8.32959594819354e-05,0.0306441635723741,0.0839709353656255,0.145069088712116,0.472734049738174,0.128885223540208,0.0544800554621635,0.785245743622222,0.938554146448672
"H2AJK5acT6ac",0.00671706103281751,0.0363834367854856,0.000293947109752765,0.000448223607488898,0.000172440418082618,6.72101524951397e-06,1.24088718341664e-05,7.89081561838719e-06,2.26212814489562e-05,0.000414508504308911,0.000117828220367496,0.0358991196925467,0.125755250406328,0.330367267639244,0.0314164626718167,0.881124927372797,0.278805205277267,0.84478119282418,0.511129307561015,0.000359729035212142,0.647126073767293,0.15278773008201,0.493655742672004,0.016321969061343,0.0184112185239645,0.0102147475182903,0.196654053333592,0.443446970801135,0.10577387299547,0.0425603750844428,8.32959594819354e-05,0,0.593802834105885,0.0663384910455421,0.554567682155334,0.00496797252161381,0.481380204880534,0.0185919517214955,0.0204493262341803,0.946099944428493
"H3K27meK36me2",0.0578626661768456,0.0254820537747928,0.0140123938594774,0.0242180280370489,0.000541655498791551,0.0769982887973935,0.0546431265001622,0.00366312342821523,0.0171329724773434,0.00697771604905766,0.00033147170800091,1.00253969041027e-05,4.06330998761385e-21,0.159890063004894,0.510110407553703,0.00186499393061651,0.0114031575683118,0.469657393207299,0.000743627616456727,0.00062427123086558,0.0517092034542355,0.99690645938912,0.000507775582704292,0.00375180859558944,0.0824714671041402,0.210631909805763,0.00290731728468133,0.210223868947017,0.906774791941871,0.0374878784615235,0.0306441635723741,0.593802834105885,0,0.0202381369937007,9.27904086532919e-06,0.000643893966968365,0.4936655092826,0.182229378066438,0.916885433830924,0.856683267619757
"H3K27me2K36me",0.0155862850436083,0.00709279875575783,0.0011792125406995,0.00168660132380725,0.000627206266821361,9.17801115820484e-06,1.30884767347115e-05,3.86423369865785e-07,5.94439781127211e-05,2.56635017437854e-05,8.22377946177648e-06,2.34705178230726e-06,8.99753347789782e-13,0.111644312644639,0.0495758581209981,0.0058562532998821,0.000293699386599871,0.284168526494927,0.000163760519760854,3.72876876624472e-05,0.405952120106514,0.812723272894461,0.00671113108518152,0.00241487534034425,0.0210647596831071,0.840892153478946,0.0787021531921899,0.0086251197635593,0.379899212516389,0.987681723292645,0.0839709353656255,0.0663384910455421,0.0202381369937007,0,5.86622175683014e-06,0.000128784068097679,0.374471681839889,0.785755161372939,0.007687854759129,0.130516060664227
"H3K9me2",2.10336047537428e-07,1.75924085857628e-06,2.32110201575862e-07,1.39967443556281e-05,3.98538092807592e-07,1.6082045342848e-05,4.15911360145546e-07,1.05152457198864e-07,6.92037970294402e-07,8.71647217342444e-09,0.00028290973125483,2.79084962260576e-05,5.96315043743403e-09,1.96807987774781e-10,0.0148837783924729,6.34327832447199e-06,0.000183547293086088,0.000389810791376996,0.00425741741276597,1.83096975309443e-05,0.000145167662950535,0.0962315637503687,0.52747445481253,0.422935786659789,0.0179378813339889,0.63541760686825,0.533242119637205,0.279362252280451,0.575683846791424,0.196125437976743,0.145069088712116,0.554567682155334,9.27904086532919e-06,5.86622175683014e-06,0,9.67745379171497e-14,0.322099428652938,0.349068655893506,0.155373061593396,0.0346552131272648
"H3K9me3K14ac",9.86896941381933e-13,3.78183280356503e-10,4.57646405581044e-13,4.98930148715002e-10,3.2075733237577e-12,1.58443688516553e-07,1.0263541048803e-11,6.32883025046267e-11,1.40141224296103e-09,1.07637420164385e-12,1.68902602503853e-06,0.000171757009854314,8.38725607552251e-07,4.91657539793288e-06,0.00135600919337122,0.00561066550363691,0.0230159077954866,0.0217826350942124,0.0171005404431844,6.51251101540313e-05,0.00149635288764064,0.00223436293204622,0.198144373681,0.904359146941849,0.270765793681712,0.636095032391999,0.0734270223092967,0.487335533612673,0.0099093148094919,0.0271984112420602,0.472734049738174,0.00496797252161381,0.000643893966968365,0.000128784068097679,9.67745379171497e-14,0,0.00134803687563199,0.673365814788541,0.15013392560441,0.286832066955955
