"","H1-K25[me];K31[un]","H1-K25[un];K31[un]","H1.2-K33[ac];K45[un];K51[un]","H1.2-K33[un];K45[un];K51[un]","H1.5-K33[ac];K45[un];K51[un]","H1.5-K33[un];K45[un];K51[un]","H2A1A-K5[ac];K9[un]","H2A1A-K5[un];K9[un]","H2A1B-K13[un];K15[ac]","H2A1B-K13[un];K15[un]","H2AJ-K5[ac];K9[ac]","H2AJ-K5[ac];T6[ac];K9[un]","H2AJ-K5[un];K9[un]","H2AX-K5[un];K9[un]","H31-K18[ac];K23[ac]","H31-K18[ac];K23[un]","H31-K18[un];K23[ac]","H31-K18[un];K23[su]","H31-K18[un];K23[un]","H31-K27[me];K36[me2];K37[un]","H31-K27[me2];K36[me];K37[un]","H31-K27[un];K36[me2];K37[un]","H31-K4[me]","H31-K4[un]","H31-K79[me]","H31-K79[un]","H31-K9[ac];K14[ac]","H31-K9[ac];K14[un]","H31-K9[me];K14[ac]","H31-K9[me];K14[un]","H31-K9[me2];K14[ac]","H31-K9[me2];K14[un]","H31-K9[me3];K14[ac]","H31-K9[me3];K14[un]","H31-K9[un];K14[ac]","H31-K9[un];K14[ub]","H31-K9[un];K14[un]","H4-K5[ac];K8[ac];K12[ac];K16[ac]","H4-K5[ac];K8[ac];K12[ac];K16[un]","H4-K5[ac];K8[ac];K12[un];K16[ac]","H4-K5[ac];K8[ac];K12[un];K16[un]","H4-K5[ac];K8[un];K12[ac];K16[ac]","H4-K5[ac];K8[un];K12[ac];K16[un]","H4-K5[ac];K8[un];K12[un];K16[ac]","H4-K5[ac];K8[un];K12[un];K16[un]","H4-K5[un];K8[ac];K12[ac];K16[ac]","H4-K5[un];K8[ac];K12[ac];K16[un]","H4-K5[un];K8[ac];K12[un];K16[ac]","H4-K5[un];K8[ac];K12[un];K16[un]","H4-K5[un];K8[un];K12[ac];K16[ac]","H4-K5[un];K8[un];K12[ac];K16[un]","H4-K5[un];K8[un];K12[un];K16[ac]","H4-K5[un];K8[un];K12[un];K16[un]"
"H2AJ-K5[ac];K9[ac]",0.785245743622222,0.209918737646039,0.671366722111514,0.467867354533401,0.938554146448672,0.724001460203571,0.29959374189488,0.291968886393956,0.00322401479839573,0.00493006678331639,0,8.32959594819354e-05,1.45754353049083e-117,0.000101958521581464,0.0177546123256173,0.0988777164355177,0.437527161906262,0.145565823098954,0.0199872793759326,0.0306441635723741,0.0839709353656255,0.0193159670200855,0.560984292209086,0.553026891692789,0.0359539081616504,0.0881919823063272,0.0344416247553156,0.538431108679288,0.276370641179902,4.22307503097351e-05,0.0697720040026905,0.145069088712116,0.472734049738174,0.128885223540208,0.00384377276270441,0.0622944333313355,0.0406859754843892,0.164343246835801,1.61549864420419e-05,0.914862004149079,0.0350794093618589,0.992351992863582,0.397175477683232,0.325804501013743,0.0813691552412081,0.435894699700471,0.537024793354763,0.593373436098759,0.82233581383707,0.78745327575123,0.570290599946103,0.0544800554621635,0.138982038563336
"H2AJ-K5[ac];T6[ac];K9[un]",0.0204493262341803,0.00100538336534841,0.0358991196925467,0.0385799565057972,0.946099944428493,0.659446370812131,6.72101524951397e-06,6.62118523935845e-06,0.0184112185239645,0.0192515341515824,8.32959594819354e-05,0,8.013323171996e-05,9.09628527243323e-114,0.196654053333592,0.0102147475182903,0.881124927372797,0.000359729035212142,0.0218814197743603,0.593802834105885,0.0663384910455421,0.125755250406328,0.000117828220367496,0.000135296715183532,0.443446970801135,0.538842336386257,0.00671706103281751,0.0363834367854856,0.647126073767293,0.10577387299547,0.511129307561015,0.554567682155334,0.00496797252161381,0.481380204880534,0.330367267639244,0.159908367264128,0.895592198306152,1.24088718341664e-05,0.0425603750844428,2.26212814489562e-05,0.278805205277267,0.000414508504308911,0.0314164626718167,0.000293947109752765,0.493655742672004,7.89081561838719e-06,0.84478119282418,0.000448223607488898,0.15278773008201,0.000172440418082618,0.016321969061343,0.0185919517214955,5.2923739779099e-06
"H2AJ-K5[un];K9[un]",0.785051579924001,0.209069775086507,0.690410370181218,0.476492512925609,0.950882338517893,0.734004048176758,0.297441599387818,0.289924222934332,0.00313730456254965,0.00479866845104433,1.45754353049083e-117,8.013323171996e-05,0,9.7050015193703e-05,0.0183737011319878,0.101863869909048,0.429059053161077,0.14599852011206,0.0218908933532144,0.0294881143860344,0.0841041594568572,0.018871271959689,0.581768912121724,0.573995324750221,0.0356679991983917,0.0875620105482035,0.0369878170179119,0.534446657352064,0.269217962032786,5.31263525734532e-05,0.0678683664376666,0.135214938251013,0.481127971521774,0.132254696316872,0.00386001337256288,0.0637564817330319,0.042651529563776,0.166574187571871,1.84813708937032e-05,0.905290709331745,0.0361394238021639,0.992319268951939,0.403918513257129,0.338578661153495,0.0815449359694111,0.434693622463699,0.547729419552502,0.598038243744212,0.8488430408156,0.767181652154171,0.598817454035101,0.055224427653301,0.143621139513672
"H2AX-K5[un];K9[un]",0.0209369978589915,0.00102074564429482,0.0355736863372043,0.0388469688500114,0.939714580676747,0.659330755110014,6.85407919424131e-06,6.8093865076721e-06,0.0196614485281709,0.0204319948104444,0.000101958521581464,9.09628527243323e-114,9.7050015193703e-05,0,0.191167179728098,0.0102762195300616,0.860388822049513,0.000384050078034139,0.0221644573084074,0.598278543955287,0.0659391820521437,0.124779777029913,9.78576478803107e-05,0.000112585888824395,0.414774466689206,0.505569532321508,0.00683399049745443,0.0336191522819358,0.635344701790027,0.114852551964486,0.51493592605429,0.55072645046495,0.00488463403191849,0.474641998071928,0.342445710584917,0.147007026938994,0.910887719705397,1.2387868625352e-05,0.0431213160796707,1.96455454152066e-05,0.267988382844579,0.000365230328140329,0.0309378647255659,0.00029687214767976,0.481653053161445,7.2794100777626e-06,0.846124117285343,0.000399775176350979,0.151856500821277,0.000164260614551648,0.0152967703728928,0.0203905206746314,5.26687366528776e-06
"H31-K18[ac];K23[ac]",0.20189096698023,0.0498152671910201,0.808691540688634,0.827933475220044,0.34030126882079,0.241152919524199,0.115361285132382,0.121765349428141,0.341446640261821,0.388389866211524,0.0177546123256173,0.196654053333592,0.0183737011319878,0.191167179728098,0,0.0168280082760647,1.603569575054e-07,0.180337167010597,2.84065155138081e-12,0.00290731728468133,0.0787021531921899,0.00861210954297376,0.371047269676447,0.398394257762844,0.000267590909867744,0.00122438203772087,0.063712854666555,0.0526294082524525,0.829556918382978,0.0692151859797862,0.679820587231604,0.533242119637205,0.0734270223092967,8.27642118084934e-05,0.477815646607844,0.145785442952888,0.663991615468169,0.0638353076889145,0.0454124717213763,0.0625452965564141,0.0744451672374019,0.0179883378783015,0.125735060074959,0.00729093622107141,3.76343680331939e-05,0.147337824185053,0.478500228771523,0.0193883720850625,0.00854802507846813,0.121241600064658,0.0173289630587507,0.0522601171981176,0.086529013836174
"H31-K18[ac];K23[un]",0.18292553969518,0.102062932848991,0.264801468966704,0.228739459871179,0.200975384690186,0.292431169035453,0.170020400122329,0.188075483634691,0.0470492756298876,0.0766160263204019,0.0988777164355177,0.0102147475182903,0.101863869909048,0.0102762195300616,0.0168280082760647,0,0.0445014543519342,0.567854007758698,1.24264913085478e-05,0.210631909805763,0.840892153478946,0.505807248890346,0.468295315854356,0.477557220357774,0.434398177341672,0.63320322915589,0.918369319544091,0.183630401569398,0.0793083009833204,0.149365015599259,0.0796229926544135,0.63541760686825,0.636095032391999,0.363760406213842,0.342444271076509,0.86596839920943,0.123338749683687,0.705236335006499,0.0794400744581701,0.464724464550035,0.0130819269368776,0.543580066072286,0.0430438882575737,0.425427486663432,0.0357007570837095,0.294239221989755,0.00507200783692016,0.140789679776406,0.352305027728474,0.608877159213957,0.984884580633242,0.211292452853349,0.153059732589178
"H31-K18[un];K23[ac]",0.742660929062743,0.788980486857135,0.550874027819289,0.374359624991088,0.60475094027273,0.36672224722604,0.149166311035253,0.126876101433276,0.368660438460854,0.370104718565176,0.437527161906262,0.881124927372797,0.429059053161077,0.860388822049513,1.603569575054e-07,0.0445014543519342,0,0.00302734858712251,0.489119537348312,0.00186499393061651,0.0058562532998821,0.000518871663426031,0.606913959813893,0.613297514143238,0.00164015016438315,0.002963722865437,0.00022654590049526,0.00437075567727589,0.00938625573949792,0.494745822584849,0.000547391417449838,6.34327832447199e-06,0.00561066550363691,0.342716846616516,0.0172319511092856,0.278632049028854,0.741296442174915,0.0419124710526491,0.452807929297102,0.0283313003417865,0.000240374994056611,0.0540280292395226,0.396969982382969,0.00487352439101645,0.399834356377383,0.0842289034964985,1.82388903273359e-05,0.0539472522858216,0.138296855978755,0.00625336027737715,0.583087214135144,0.22643497172966,0.00437271497188648
"H31-K18[un];K23[su]",0.0644549048385883,0.0296095619218659,1.71905793849575e-07,5.95836406475199e-08,0.732677836036897,0.755703874943437,6.66954918632126e-05,0.000130392400093012,0.240899661539765,0.244709787524516,0.145565823098954,0.000359729035212142,0.14599852011206,0.000384050078034139,0.180337167010597,0.567854007758698,0.00302734858712251,0,0.426364382354557,0.00062427123086558,3.72876876624472e-05,4.32109048211934e-06,0.00350506713550197,0.00441816458092427,0.530836916030982,0.820648778695886,0.0010181979131584,0.00185746128903745,0.000489546573566682,0.955271689118882,0.00214588885225828,1.83096975309443e-05,6.51251101540313e-05,0.860427073999995,0.163364066207025,0.497205830239357,0.233683053228631,3.78471912056288e-07,0.0272499992325763,4.62642200090376e-06,0.0104288919057547,4.1609430718236e-05,0.123382533881404,3.17468585779017e-05,0.22235748838318,2.57460153671673e-07,0.182473640011053,0.00105404997605203,0.799685592153495,6.51320608862435e-06,0.0138619828334035,0.298347261119288,2.01228465455556e-05
"H31-K18[un];K23[un]",0.107930282246518,0.0160930820934678,0.606476870276886,0.800548260358126,0.241302083837412,0.30454170800739,0.000598737482988291,0.000567636197458087,0.40656426191266,0.50854323124752,0.0199872793759326,0.0218814197743603,0.0218908933532144,0.0221644573084074,2.84065155138081e-12,1.24264913085478e-05,0.489119537348312,0.426364382354557,0,0.349394114117105,0.630501869650206,0.961220938732131,0.0752938976700351,0.0881832335539551,0.143240478614061,0.267127560900115,5.22147370389911e-08,4.07923354912745e-05,0.101218828153555,0.0527205583403416,0.107218710918544,0.0061748240545704,3.07771190718635e-06,5.96893215877183e-08,0.00230034729032606,0.0118191093962349,0.666024345207286,9.39576531154975e-05,0.000595407952180973,2.2162908186429e-05,0.908501420209574,2.98306735135723e-06,0.00163655223310085,1.26307708477558e-09,7.36138671890706e-06,0.000351418327406087,0.116214170246337,7.24992419486115e-07,2.23274365464167e-06,1.52081362341147e-05,0.00312879752154998,0.379033964060928,9.51974710097083e-07
"H31-K27[me];K36[me2];K37[un]",0.916885433830924,0.906617029444418,1.00253969041027e-05,1.55300760154546e-07,0.856683267619757,0.755731929663036,0.0769982887973935,0.0928940643765532,0.0824714671041402,0.0975088059658952,0.0306441635723741,0.593802834105885,0.0294881143860344,0.598278543955287,0.00290731728468133,0.210631909805763,0.00186499393061651,0.00062427123086558,0.349394114117105,0,0.0202381369937007,4.06330998761385e-21,0.00033147170800091,0.000396957687843879,0.210223868947017,0.255733519635898,0.0578626661768456,0.0254820537747928,0.0517092034542355,0.906774791941871,0.000743627616456727,9.27904086532919e-06,0.000643893966968365,0.4936655092826,0.159890063004894,0.610958071230183,0.0950297133856181,0.0546431265001622,0.0374878784615235,0.0171329724773434,0.0114031575683118,0.00697771604905766,0.510110407553703,0.0140123938594774,0.000507775582704292,0.00366312342821523,0.469657393207299,0.0242180280370489,0.99690645938912,0.000541655498791551,0.00375180859558944,0.182229378066438,0.0156640114093728
"H31-K27[me2];K36[me];K37[un]",0.007687854759129,0.0138266142435118,2.34705178230726e-06,4.32427045821921e-07,0.130516060664227,0.126937241394939,9.17801115820484e-06,1.04441450799304e-05,0.0210647596831071,0.025608852606425,0.0839709353656255,0.0663384910455421,0.0841041594568572,0.0659391820521437,0.0787021531921899,0.840892153478946,0.0058562532998821,3.72876876624472e-05,0.630501869650206,0.0202381369937007,0,8.99753347789782e-13,8.22377946177648e-06,1.10967967099752e-05,0.0086251197635593,0.0321973075034866,0.0155862850436083,0.00709279875575783,0.405952120106514,0.379899212516389,0.000163760519760854,5.86622175683014e-06,0.000128784068097679,0.374471681839889,0.111644312644639,0.24272350538005,0.0898919403998102,1.30884767347115e-05,0.987681723292645,5.94439781127211e-05,0.000293699386599871,2.56635017437854e-05,0.0495758581209981,0.0011792125406995,0.00671113108518152,3.86423369865785e-07,0.284168526494927,0.00168660132380725,0.812723272894461,0.000627206266821361,0.00241487534034425,0.785755161372939,0.00235598132632069
"H31-K27[un];K36[me2];K37[un]",0.171374828337864,0.166328421743236,5.69483686095398e-09,2.56325973953137e-11,0.543899738261223,0.613179882044554,0.000132978982615481,0.00017744743815155,0.0169377963941497,0.02194324120941,0.0193159670200855,0.125755250406328,0.018871271959689,0.124779777029913,0.00861210954297376,0.505807248890346,0.000518871663426031,4.32109048211934e-06,0.961220938732131,4.06330998761385e-21,8.99753347789782e-13,0,1.18985465101428e-07,1.84575249204675e-07,0.0417687782539369,0.0826884761707036,0.00394089290609417,0.00102899129514539,0.0846216972960022,0.824066799833676,9.90316823594243e-06,5.96315043743403e-09,8.38725607552251e-07,0.515139117184802,0.0557419551155556,0.224753362983172,0.0360131305859717,9.54508292807564e-05,0.227028821095631,3.78075275986509e-05,0.000141112987294667,5.71625447020501e-06,0.0802441637340805,0.000198350690803509,0.00035320593010512,2.03624241629619e-07,0.331757807666702,0.000294510826530133,0.677909129308526,3.37309740236953e-06,0.000335494961066618,0.462002980127593,0.000264541051604366
"H31-K4[me]",0.0111373092447608,0.000693873447251333,4.400160578913e-08,1.87401172301772e-09,0.265302645097373,0.207571111471034,3.04710311117664e-10,1.68296744924106e-09,0.705451298044473,0.690459139368028,0.560984292209086,0.000117828220367496,0.581768912121724,9.78576478803107e-05,0.371047269676447,0.468295315854356,0.606913959813893,0.00350506713550197,0.0752938976700351,0.00033147170800091,8.22377946177648e-06,1.18985465101428e-07,0,1.30019117422733e-98,0.832021958031066,0.858087203118297,0.00322516147576343,0.000314402742462245,0.89577857711718,0.0825137239897697,0.0188060941298798,0.00028290973125483,1.68902602503853e-06,0.8831067589611,0.069895908834095,0.00623027940154747,0.00259320554590509,1.44511622157179e-07,0.301193763675538,1.50063365634242e-10,0.00319411149247657,5.58195115525608e-13,0.000482792087406482,2.66175286760439e-08,0.154286883936784,1.69898947236653e-12,0.204017971448436,6.17303099465229e-09,0.652963014515674,4.79903264286179e-09,1.47495184045192e-06,0.178788444670935,1.42578349398333e-08
"H31-K4[un]",0.0113762545370167,0.000747906946231442,5.93273503738924e-08,2.63230215273835e-09,0.275842556741508,0.218436401225998,7.18581631041301e-10,3.7400639910634e-09,0.712867941256828,0.696900751578555,0.553026891692789,0.000135296715183532,0.573995324750221,0.000112585888824395,0.398394257762844,0.477557220357774,0.613297514143238,0.00441816458092427,0.0881832335539551,0.000396957687843879,1.10967967099752e-05,1.84575249204675e-07,1.30019117422733e-98,0,0.834710561253303,0.855279593608078,0.00433306209170229,0.00043783933710266,0.841639172021725,0.0694327905794328,0.0270611682160581,0.000307015882184145,2.27268184174749e-06,0.853490562558577,0.0684031070213528,0.00388767666104058,0.00218033124975975,3.30770707662945e-07,0.279593279652571,5.10507930123871e-10,0.00356438893559253,1.86616647994039e-12,0.000399563932732891,6.28404591646907e-08,0.161239838173161,6.60204006887422e-12,0.209966629585277,1.93838582286168e-08,0.710812018663985,1.07960086559844e-08,1.63715648657356e-06,0.186106674634882,3.59656543519158e-08
"H31-K79[me]",0.436220178449604,0.653182595162428,0.143190973549243,0.128303869135884,0.970681387752651,0.835354895809668,0.853186793492771,0.83769659925177,0.276350267830939,0.318895848557146,0.0359539081616504,0.443446970801135,0.0356679991983917,0.414774466689206,0.000267590909867744,0.434398177341672,0.00164015016438315,0.530836916030982,0.143240478614061,0.210223868947017,0.0086251197635593,0.0417687782539369,0.832021958031066,0.834710561253303,0,2.97075020618253e-55,0.749855401689514,0.974475776052691,0.737072891528256,0.227502223357499,0.373995481296026,0.279362252280451,0.487335533612673,0.156654732679671,0.136868750173082,0.0096889223223565,0.224007228088928,0.574544976745993,0.087815694747602,0.78076883059469,0.115677084063135,0.603115231099182,0.752416969581518,0.617989923972139,0.0214527259795793,0.747049072828289,0.301711215269666,0.283457487824876,0.545820980393097,0.371483413839579,0.249399604429745,0.403194665956427,0.581174616801613
