"","H1-K25[me];K31[un]","H1-K25[un];K31[un]","H1.5-K33[ac];K45[un];K51[un]","H1.5-K33[un];K45[un];K51[un]","H2A1A-K5[ac];K9[un]","H2A1A-K5[un];K9[un]","H2A1B-K13[un];K15[ac]","H2A1B-K13[un];K15[un]","H2AJ-K5[ac];K9[ac]","H2AJ-K5[ac];K9[hib]","H2AJ-K5[ac];T6[ac];K9[un]","H2AJ-K5[un];K9[un]","H2AX-K5[un];K9[un]","H31-K18[ac];K23[ac]","H31-K18[ac];K23[un]","H31-K18[un];K23[ac]","H31-K18[un];K23[su]","H31-K18[un];K23[un]","H31-K27[hib];K36[un];K37[un]","H31-K27[me];K36[me2];K37[un]","H31-K27[me2];K36[me];K37[un]","H31-K27[me2];K36[un];K37[un]","H31-K27[me3];K36[un];K37[un]","H31-K27[un];K36[me2];K37[un]","H31-K27[un];K36[un];K37[un]","H31-K4[me]","H31-K4[un]","H31-K79[me]","H31-K79[un]","H31-K9[ac];K14[ac]","H31-K9[me];K14[ac]","H31-K9[me];K14[un]","H31-K9[me2];K14[ac]","H31-K9[me2];K14[un]","H31-K9[me3];K14[ac]","H31-K9[me3];K14[un]","H31-K9[un];K14[ac]","H31-K9[un];K14[ub]","H31-K9[un];K14[un]","H4-K5[ac];K8[ac];K12[ac];K16[ac]","H4-K5[ac];K8[ac];K12[ac];K16[un]","H4-K5[ac];K8[ac];K12[un];K16[ac]","H4-K5[ac];K8[ac];K12[un];K16[un]","H4-K5[ac];K8[un];K12[ac];K16[ac]","H4-K5[ac];K8[un];K12[ac];K16[un]","H4-K5[ac];K8[un];K12[un];K16[ac]","H4-K5[ac];K8[un];K12[un];K16[un]","H4-K5[un];K8[ac];K12[ac];K16[ac]","H4-K5[un];K8[ac];K12[ac];K16[un]","H4-K5[un];K8[ac];K12[un];K16[ac]","H4-K5[un];K8[ac];K12[un];K16[un]","H4-K5[un];K8[un];K12[ac];K16[ac]","H4-K5[un];K8[un];K12[ac];K16[un]","H4-K5[un];K8[un];K12[un];K16[ac]","H4-K5[un];K8[un];K12[un];K16[un]"
"H2AJ-K5[ac];T6[ac];K9[un]",0.519878212437472,0.515246539379477,0.346339984093966,0.478396635920768,0.748069086355877,0.734789256608829,0.131838702770242,0.149948080447933,0.585369447731658,0.310924590313987,0,0.0995787452230283,3.49318418383956e-34,0.00532943919046507,0.343499448346027,0.162510768111575,0.302951597379335,0.628634664238572,0.125967189335484,0.804805514282045,0.661873785550094,0.0999719218481917,0.298346233716714,0.0046012147138213,0.00409097437825257,0.0677107846534554,0.0764212796056373,0.987474286930746,0.983381506925288,0.502615515233639,0.402583122464878,0.467188827661737,0.00423593545212846,0.00267060324856931,0.158441966740072,0.889037114043049,0.00615361784167622,0.359620887178844,0.00575782806440159,0.115546392733183,0.756822790642345,0.861953764825249,0.747443376789296,0.161021402651534,0.804536332823425,0.838997993656809,0.680930733453473,0.324146395452358,0.133605658851573,0.818901235788195,0.0896121038383138,0.798148715507247,0.502828164870013,0.209842553749302,0.574599177229945
"H2AJ-K5[un];K9[un]",0.515088465696123,0.566392778220697,0.488935936832745,0.703155995439207,0.62386449534634,0.604260090606513,0.918485151468606,0.91077664664626,5.60104296226603e-08,0.0656115370248016,0.0995787452230283,0,0.0950623498057904,0.478665202963126,0.0560996814744183,0.134135806706556,0.636425269480649,0.0551596498005288,0.637536615221243,0.407887392153654,0.638993233820377,0.393241918246764,0.0542999743929395,0.194159895743713,0.00133143730075866,0.0940409207729029,0.114177542794705,0.0750116450431122,0.0632857784225713,0.0225473217914813,0.0791846996442167,0.767498764373881,0.119142686399739,0.0229663254012472,0.0484371088634658,0.51296268186476,0.000115066821157376,0.110312289910805,0.000346128991508966,0.537586119389321,0.710649658541223,0.148162490079663,0.172152838245906,0.38551149564707,0.255254128560991,0.467504523838594,0.150042647441325,0.921736073178447,0.204554160982349,0.550503652566476,0.757681929000508,0.568768570544874,0.119731474420856,0.671192503468695,0.877552595206528
"H2AX-K5[un];K9[un]",0.530433060241019,0.525349194971566,0.37055517248098,0.503891579684848,0.756619551633805,0.743145234040369,0.127451397866338,0.145250492371616,0.576988800598756,0.308760544025936,3.49318418383956e-34,0.0950623498057904,0,0.00475809609052978,0.342564419414981,0.16415837649506,0.30743851487217,0.625016403932832,0.118058009141136,0.818711492654623,0.670468745063208,0.0991270226807037,0.299505140245456,0.00410243944110633,0.00389893125336001,0.0622065398636404,0.070569576103822,0.961774200080578,0.956571158556191,0.519067969348011,0.410031719266507,0.476039367241304,0.00397806199628433,0.00294446451484712,0.153574158484302,0.874280511587498,0.00591313679184627,0.375360084976038,0.00555103713978823,0.12216023070609,0.765202820456266,0.865867143459729,0.736769115661645,0.169500946626136,0.793693059519193,0.829928721431863,0.669157871606536,0.333583001900071,0.130114465177715,0.837997260108043,0.0860966825479374,0.786643936258873,0.489947874857388,0.206031145263833,0.56559557626121
"H31-K18[ac];K23[ac]",0.535221168144188,0.520179470055446,0.919662680553267,0.812978159076914,0.562514103098599,0.558497151648967,0.14534824608628,0.140971987502565,0.48896133854031,0.015178121361722,0.00532943919046507,0.478665202963126,0.00475809609052978,0,0.290527977691522,0.310047517353836,0.236050528325773,0.344849548867628,0.101979920851826,0.442281344642899,0.406638501394644,0.358962771277127,0.819336867217658,0.190741408235281,0.0500195611274477,0.0262096688437229,0.0302525458558042,0.660514445518818,0.600131391674013,0.0936016987427069,0.516503708620062,0.314376465485628,0.0158501101612083,0.171611451765181,0.279405421717479,0.584582833100793,0.0987382476222525,0.89562441829431,0.0188234351330529,0.0140860238426586,0.712796342734649,0.90175329881632,0.6542078480742,0.0209080343494913,0.741676241160264,0.938785300058806,0.492797968874161,0.866073964230868,0.0917249949927012,0.853109492963068,0.113170316358222,0.986708702500589,0.529437743414392,0.796383241023762,0.819822352253685
"H31-K18[ac];K23[un]",0.452528597575105,0.565823039440791,0.14304554646137,0.184915991873443,0.64898495319993,0.628740555449493,0.682360505870313,0.62413544832825,0.0483720455205247,0.207864928755353,0.343499448346027,0.0560996814744183,0.342564419414981,0.290527977691522,0,0.107830481564485,0.651479686139358,8.72425902111453e-10,0.977995159945917,0.528273048372538,0.0211821121417661,0.587522293664656,0.424115571137053,0.233310137555087,0.676124854863335,0.448874685203746,0.478488239035987,0.550636901595992,0.609144182039297,0.0160892099513321,0.121980375572935,0.40862654232637,0.959497757191817,0.277520480537971,0.492829303296735,0.658736855086276,0.160795740163805,0.262120835345279,0.161536007584158,0.150194908608948,0.0478842002970443,0.584662328399586,0.906431521575189,0.0510698532964662,0.902032792151984,0.66344813847756,0.0499913139282811,0.301509575503816,0.431957145777451,0.655785705634409,0.968657888908213,0.913297971612276,0.656445596681777,0.459246715912966,0.459514176303153
"H31-K18[un];K23[ac]",0.298287484001337,0.298500297003752,0.208145070159634,0.306827873354409,0.358832877171312,0.348312614084894,0.000432147738907392,0.000539534690369551,0.631528063489262,0.318446349117279,0.162510768111575,0.134135806706556,0.16415837649506,0.310047517353836,0.107830481564485,0,0.108847412083022,0.000847165036775322,0.335293094874829,0.898074623906152,0.816941268107085,0.764222616563252,0.161178815150339,0.840621885481126,0.0837670427032874,0.203649237772855,0.228298609683174,0.71965944080589,0.767146307198318,0.8214205049176,0.115189443917271,0.198573108865763,0.778483900837017,0.00128577214581186,0.149937166277665,0.490555510133902,0.0145469803114894,0.405060839407329,0.0389468941858968,0.149570689777782,0.241547211954954,0.785428967605524,0.240465014797312,0.140547324267925,0.108687083090504,0.430280703349185,0.236827022617546,0.276586048494695,0.814725174591009,0.151883781400568,0.901114413088629,0.111121699295211,0.0910393865328824,0.555558054597115,0.388730803029622
"H31-K18[un];K23[su]",0.845168738448802,0.694456552955431,0.746541495982456,0.553384097287849,0.000245043920343621,0.000257247160914354,0.140024425013044,0.127655621865057,0.566694613443147,0.615831981882326,0.302951597379335,0.636425269480649,0.30743851487217,0.236050528325773,0.651479686139358,0.108847412083022,0,0.191192539236422,0.495333762180085,0.159773454937581,0.752925458475444,0.533953573330448,0.909177217627357,0.238445836708731,0.0710877006866785,0.825326077313123,0.781906717415896,0.948653101779282,0.83229893108653,0.914280328006024,0.81733797149808,0.139039646424488,0.0209670108347467,0.869175056368213,0.812035133308178,0.342462105232616,0.716110411290596,0.543158119260756,0.26731360234272,0.459234522974208,0.165635989813387,0.693736980750776,0.651604872281215,0.858176872069033,0.683119070501656,0.134924325730974,0.565356215822407,0.739657902115913,0.510086140191146,0.456926424853323,0.471129667317305,0.71052433309994,0.989055478744554,0.303169792567503,0.317258948671593
"H31-K18[un];K23[un]",0.82062736948585,0.926368259129569,0.106400777205255,0.158734267319673,0.356760063354553,0.34135883923486,0.132154761724573,0.117741718987069,0.0884092028303684,0.43825387683973,0.628634664238572,0.0551596498005288,0.625016403932832,0.344849548867628,8.72425902111453e-10,0.000847165036775322,0.191192539236422,0,0.800239240364138,0.429433767058541,0.0424840409479137,0.452016022481402,0.254427674240533,0.289991362494866,0.472525347640758,0.414460511623226,0.446731892168931,0.520439168013941,0.598347224716932,0.0408209109028087,0.0653140951269488,0.160143107764837,0.847453608841769,0.0602480855300435,0.323224260714199,0.363055932931343,0.0652103082026749,0.616643482033375,0.114089678813457,0.467075165715304,0.0328454889005574,0.622227097761476,0.766744822813752,0.290063208990981,0.603207083762815,0.9764087724785,0.0522415404757207,0.69640554411298,0.497495045393208,0.802433225293105,0.919908718340405,0.497760951513639,0.358507336239331,0.466354616094197,0.839287915662446
"H31-K27[hib];K36[un];K37[un]",0.949854003645224,0.82781188693924,0.958619705701368,0.85948015253042,0.683043785106158,0.696130724803916,0.0368411547932406,0.03377763075593,0.311230785198723,0.176227598270135,0.125967189335484,0.637536615221243,0.118058009141136,0.101979920851826,0.977995159945917,0.335293094874829,0.495333762180085,0.800239240364138,0,0.000835246438324908,0.206722638200363,0.414590257152305,0.295878992390482,0.0430972871800689,0.602550521285365,0.0429841745051525,0.0365591468648383,0.710667952151475,0.609041895537356,0.745851090098817,0.181165679433385,0.0229625382004288,0.53225607238548,0.948021338358151,0.249189327657374,0.450732520606916,0.718102790655649,0.635837932063725,0.701917083257474,0.943512165051489,0.425117754792365,0.144363026776958,0.154930841958664,0.883980659603335,0.624860744227175,0.843999161773224,0.801783956268137,0.570416800980918,0.350863324478811,0.400887056385575,0.474059192009306,0.40987779532201,0.658721534206104,0.804665968827617,0.653757613941908
"H31-K27[me];K36[me2];K37[un]",0.199361302456501,0.257368838122074,0.564341144173793,0.370646594023429,0.261176718448671,0.266156250828016,0.6384776727391,0.617892404557378,0.606540401426582,0.944871389190383,0.804805514282045,0.407887392153654,0.818711492654623,0.442281344642899,0.528273048372538,0.898074623906152,0.159773454937581,0.429433767058541,0.000835246438324908,0,0.0120823991436819,0.00244107951686841,0.318258663873135,0.0627388851991692,0.403887101570194,0.307398020830868,0.262988377830705,0.442347222508245,0.607819900264252,0.989423579555707,0.194319495255093,7.67713537308926e-05,0.824493539008802,0.505945736455811,0.0226132435187124,0.168575941833493,0.862185264260454,0.969759308234579,0.763778997617839,0.416740498788576,0.0488672318934155,0.118117452928261,0.774571221779475,0.154648127408155,0.953033993554869,0.193045833320986,0.933428326072328,0.0257256427955124,0.782668844454378,0.0516259319446524,0.739004207736817,0.0149273086480757,0.810107516052608,0.396226428787331,0.105452161697313
"H31-K27[me2];K36[me];K37[un]",0.203315154149618,0.241718631744859,0.142070439349418,0.132618920862603,0.756452738462191,0.75292868964177,0.925686220901836,0.894977440537664,0.327346651317637,0.200637686894126,0.661873785550094,0.638993233820377,0.670468745063208,0.406638501394644,0.0211821121417661,0.816941268107085,0.752925458475444,0.0424840409479137,0.206722638200363,0.0120823991436819,0,0.119302157370452,0.504642869255895,0.856397401947369,0.593411492305352,0.325866862990715,0.326690485239632,0.0223330109238958,0.0390036232338444,0.102255282722341,0.592442791848112,0.21773814570965,0.146755630520655,0.748958591630272,0.610984812367049,0.0167089461662626,0.306485716616918,0.375018933551838,0.471179767518521,0.00877773132466258,0.952903245854012,0.583341438484048,0.0746130448377133,0.00374236033224122,0.815115181148931,0.0334240667438728,0.12178858206371,0.131099121371729,0.625917986170835,0.0838873033933656,0.526370760191624,0.0404885209104706,0.251522929393146,0.285963320276239,0.103405419765929
"H31-K27[me2];K36[un];K37[un]",0.0273427783651632,0.0175662354242207,0.793355395818343,0.919647518717186,0.404872226008368,0.390836363142132,0.94964135158983,0.841360621631136,0.482163468985303,0.809297192608459,0.0999719218481917,0.393241918246764,0.0991270226807037,0.358962771277127,0.587522293664656,0.764222616563252,0.533953573330448,0.452016022481402,0.414590257152305,0.00244107951686841,0.119302157370452,0,0.0583167333694251,0.802915700247371,0.624772857142036,0.763722010093641,0.715518698362,0.352151691780675,0.552184432617979,0.465849002724941,0.316877700561457,0.0270742451851944,0.971533659792079,0.375809629541724,0.00341497796150595,0.482784982359992,0.250966116907267,0.682684840615207,0.523943467401973,0.624321380455831,0.239090477871859,0.259689085828823,0.578330835872844,0.664088199626406,0.955183776442763,0.230406182233791,0.684951435914539,0.108131512060017,0.921152995301898,0.376733161712436,0.223253347297825,0.106508014439716,0.891371203633216,0.522575395701801,0.35505583189762
"H31-K27[me3];K36[un];K37[un]",0.526302429257788,0.597789194718569,0.0844601838708253,0.115614215278545,0.763499800611411,0.761302886486122,0.851226861896999,0.79090845330426,0.0766535908751558,0.380536984683487,0.298346233716714,0.0542999743929395,0.299505140245456,0.819336867217658,0.424115571137053,0.161178815150339,0.909177217627357,0.254427674240533,0.295878992390482,0.318258663873135,0.504642869255895,0.0583167333694251,0,0.735709544644682,0.0291405763952174,0.263761511557437,0.278322922040591,0.919975785175489,0.688070790211622,0.370428558750411,0.78906359446772,0.603287496672387,0.986627031867361,0.0334666780594522,0.0501220908992655,0.566697265535709,0.00139353929930722,0.354014934361072,0.00763675345195773,0.926002176914632,0.567083788579971,0.00769383920546438,0.629555401275167,0.975062446737784,0.0712547962240192,0.999789440245238,0.475182616744677,0.787558594806701,0.767985994306521,0.78329407225739,0.817973099987524,0.517933484697907,0.0887730048777796,0.13682830007903,0.702038494975451
"H31-K27[un];K36[me2];K37[un]",0.644431187656318,0.677060701008114,0.831664031025483,0.743831643282957,0.945942848187921,0.935139716276317,0.71720269635944,0.703122222290263,0.346082612446824,0.879151128122005,0.0046012147138213,0.194159895743713,0.00410243944110633,0.190741408235281,0.233310137555087,0.840621885481126,0.238445836708731,0.289991362494866,0.0430972871800689,0.0627388851991692,0.856397401947369,0.802915700247371,0.735709544644682,0,0.0553410059203929,0.647066159880159,0.650262551851144,0.104344797383233,0.12357806853734,0.889494264103479,0.895119754856655,0.206374851538103,0.123597211761911,0.698460371239638,0.618982399527052,0.872171233423001,0.129830051504603,0.661554404390849,0.233352867073156,0.897917749701139,0.930472611466921,0.246523294655849,0.293778986236784,0.986462443760937,0.802779250856086,0.654318396302265,0.504418549623995,0.599742361371637,0.441172242922817,0.44211945658767,0.711715785434551,0.122752185209155,0.455398923285188,0.262410168797695,0.261818548842331
"H31-K27[un];K36[un];K37[un]",0.816148392323321,0.668019073109241,0.23330597149167,0.340594994466504,0.658558769044779,0.672129346895705,0.407010832469025,0.499633913342829,0.0343090823031057,0.859648043009346,0.00409097437825257,0.00133143730075866,0.00389893125336001,0.0500195611274477,0.676124854863335,0.0837670427032874,0.0710877006866785,0.472525347640758,0.602550521285365,0.403887101570194,0.593411492305352,0.624772857142036,0.0291405763952174,0.0553410059203929,0,0.0910568790884357,0.111163818559666,0.0876106197362749,0.0746721267631921,0.458574890099353,0.451334725548621,0.938242880948938,0.00271014265103517,0.0144451460957343,0.227811451550703,0.920831577741557,4.29091631537313e-05,0.365687855478342,7.48886376340015e-05,0.818748643135992,0.297298318708028,0.247640233988126,0.843907723787562,0.78748478327661,0.103427716298135,0.589975448550327,0.0986778715415724,0.742382995962116,0.619564449419489,0.90094390213228,0.409664668198261,0.978928236619653,0.0100402063201512,0.0607702894406548,0.572911133330257
