source,target,correlation,pvalue,RA
H3K23su,H4K8acK12acK16ac,0.505233051,0.001963692,0.006105096
H3K4me,H3K9meK14ac,0.348675703,0.040091862,0.095582428
H3K4me,H4K12ac,-0.444424044,0.007479125,0.095582428
H3K4me,H4K8ac,-0.35006182,0.039253509,0.095582428
H3K9acK14ac,H2A1AK5ac,0.651590576,2.24E-05,0.006501132
H3K9acK14ac,H2AJK5acK9ac,-0.423357816,0.011274007,0.006501132
H3K9acK14ac,H2AXK5acT6ac,-0.538334583,0.000850271,0.006501132
H3K9acK14ac,H3K9me2,-0.339624625,0.045928569,0.006501132
H3K9acK14ac,H3K9me3K14ac,-0.580913012,0.000253234,0.006501132
H3K9acK14ac,H4K12acK16ac,0.412128931,0.013890506,0.006501132
H3K9acK14ac,H4K5acK12acK16ac,0.486442937,0.003046621,0.006501132
H3K9acK14ac,H4K5acK16ac,0.465952203,0.00478675,0.006501132
H3K9acK14ac,H4K5acK8acK12acK16ac,0.638148686,3.72E-05,0.006501132
H3K9acK14ac,H4K5acK8acK16ac,0.428815386,0.010161257,0.006501132
H3K9acK14ac,H4K8acK12acK16ac,0.58039485,0.000257254,0.006501132
H3K9acK14ac,H4K8acK16ac,0.597537267,0.000150598,0.006501132
H3K9me,H3K9me3K14ac,-0.369426507,0.028954781,0.06461496
H3K9me,H4K5acK12acK16ac,0.371658296,0.027925851,0.06461496
H3K9me2,H2A1AK5ac,-0.456198717,0.005879799,0.090530924
H3K9me2,H3K14ac,-0.382032415,0.02352961,0.090530924
H3K9me2,H3K9acK14ac,-0.339624625,0.045928569,0.090530924
H3K9me2,H3K9me3K14ac,0.567443965,0.00037815,0.090530924
H3K9me2,H3K9meK14ac,-0.481757981,0.003386387,0.090530924
H3K9me2,H4K12acK16ac,-0.338771378,0.046512261,0.090530924
H3K9me2,H4K5acK12acK16ac,-0.447775286,0.006989994,0.090530924
H3K9me2,H4K5acK16ac,-0.372321778,0.027625825,0.090530924
H3K9me2,H4K5acK8acK12acK16ac,-0.452599414,0.006334102,0.090530924
H3K9me2,H4K5acK8acK16ac,-0.370812176,0.028312346,0.090530924
H3K9me2,H4K8acK12acK16ac,-0.406045625,0.015509765,0.090530924
H3K9me2,H4K8acK16ac,-0.342546502,0.043974184,0.090530924
H3K9me2K14ac,H2A1AK5ac,0.495048889,0.002499105,0.056284901
H3K9me2K14ac,H2A1BK15ac,-0.348853051,0.039983797,0.056284901
H3K9me2K14ac,H3K18ac,0.388691798,0.021021822,0.056284901
H3K9me2K14ac,H3K23su,0.462234765,0.005180678,0.056284901
H3K9me2K14ac,H3K9me3K14ac,-0.348622695,0.040124208,0.056284901
H3K9me2K14ac,H4K12acK16ac,0.509187928,0.001784592,0.056284901
H3K9me2K14ac,H4K5acK12ac,0.340957988,0.04502823,0.056284901
H3K9me2K14ac,H4K8acK12ac,0.398562467,0.01771606,0.056284901
H3K9me2K14ac,H4K8acK16ac,0.356253522,0.035680202,0.056284901
H3K9me3K14ac,H2A1AK5ac,-0.500527566,0.002197108,0.134957497
H3K9me3K14ac,H3K14ac,-0.428865222,0.010151542,0.134957497
H3K9me3K14ac,H3K9acK14ac,-0.580913012,0.000253234,0.134957497
H3K9me3K14ac,H3K9me,-0.369426507,0.028954781,0.134957497
H3K9me3K14ac,H3K9me2,0.567443965,0.00037815,0.134957497
H3K9me3K14ac,H3K9me2K14ac,-0.348622695,0.040124208,0.134957497
H3K9me3K14ac,H4K12acK16ac,-0.463990051,0.004991327,0.134957497
H3K9me3K14ac,H4K5acK12acK16ac,-0.52059376,0.001345661,0.134957497
H3K9me3K14ac,H4K5acK16ac,-0.500489366,0.002199098,0.134957497
H3K9me3K14ac,H4K5acK8acK12acK16ac,-0.60701324,0.000110538,0.134957497
H3K9me3K14ac,H4K5acK8acK16ac,-0.504636503,0.001992028,0.134957497
H3K9me3K14ac,H4K8acK12acK16ac,-0.523438754,0.001252239,0.134957497
H3K9me3K14ac,H4K8acK16ac,-0.575494143,0.000298189,0.134957497
H3K9meK14ac,H3K23su,0.389051384,0.02089299,0.179843314
H3K9meK14ac,H3K4me,0.348675703,0.040091862,0.179843314
H3K9meK14ac,H3K9me2,-0.481757981,0.003386387,0.179843314
H3K9meK14ac,H4K12acK16ac,0.385515835,0.022188622,0.179843314
H3K9meK14ac,H4K5acK12acK16ac,0.335011191,0.04915585,0.179843314
H3K9meK14ac,H4K5acK8acK12ac,-0.344052398,0.042993385,0.179843314
H3K9meK14ac,H4K5acK8acK12acK16ac,0.407612076,0.015078383,0.179843314
H3K9meK14ac,H4K5acK8acK16ac,0.377074422,0.025553287,0.179843314
H3K9meK14ac,H4K8acK12acK16ac,0.550643265,0.000609075,0.179843314
H4K12ac,H3K18acK23ac,0.481064858,0.003439347,0.027919206
H4K12ac,H3K4me,-0.444424044,0.007479125,0.027919206
H4K12ac,H4K5ac,0.540394866,0.000804804,0.027919206
H4K12ac,H4K5acK12ac,0.387152918,0.021580653,0.027919206
H4K12ac,H4K8ac,0.684579134,5.75E-06,0.027919206
H4K12acK16ac,H3K18ac,0.385376262,0.022241106,0.016531742
H4K12acK16ac,H3K23ac,0.409198606,0.014651786,0.016531742
H4K12acK16ac,H3K23su,0.398382129,0.017772306,0.016531742
H4K12acK16ac,H3K9acK14ac,0.412128931,0.013890506,0.016531742
H4K12acK16ac,H3K9me2,-0.338771378,0.046512261,0.016531742
H4K12acK16ac,H3K9me2K14ac,0.509187928,0.001784592,0.016531742
H4K12acK16ac,H3K9me3K14ac,-0.463990051,0.004991327,0.016531742
H4K12acK16ac,H3K9meK14ac,0.385515835,0.022188622,0.016531742
H4K12acK16ac,H4K5acK12acK16ac,0.469076019,0.004475977,0.016531742
H4K12acK16ac,H4K5acK16ac,0.517913564,0.001439222,0.016531742
H4K12acK16ac,H4K5acK8acK12acK16ac,0.677244658,7.89E-06,0.016531742
H4K12acK16ac,H4K5acK8acK16ac,0.576779229,0.000286928,0.016531742
H4K12acK16ac,H4K8acK12acK16ac,0.655060524,1.95E-05,0.016531742
H4K12acK16ac,H4K8acK16ac,0.522688918,0.00127629,0.016531742
H4K16ac,H4K5acK8ac,-0.375356541,0.026287097,0.139480863
H4K5ac,H3K18ac,0.350428586,0.039034072,0.002039825
H4K5ac,H3K18acK23ac,0.54879738,0.000640847,0.002039825
H4K5ac,H4K12ac,0.540394866,0.000804804,0.002039825
H4K5ac,H4K5acK12ac,0.399735379,0.017353855,0.002039825
H4K5ac,H4K5acK8acK12ac,0.536564684,0.000891128,0.002039825
H4K5ac,H4K8ac,0.425219481,0.010883378,0.002039825
H4K5ac,H4K8acK16ac,0.392785728,0.019593402,0.002039825
H4K5acK12ac,H3K9me2K14ac,0.340957988,0.04502823,0.010979189
H4K5acK12ac,H4K12ac,0.387152918,0.021580653,0.010979189
H4K5acK12ac,H4K5ac,0.399735379,0.017353855,0.010979189
H4K5acK12ac,H4K5acK8acK12ac,0.456649684,0.005824902,0.010979189
H4K5acK12acK16ac,H2A1AK5ac,0.535766527,0.000910113,0.009686176
H4K5acK12acK16ac,H3K18ac,0.356024729,0.035807359,0.009686176
H4K5acK12acK16ac,H3K9acK14ac,0.486442937,0.003046621,0.009686176
H4K5acK12acK16ac,H3K9me,0.371658296,0.027925851,0.009686176
H4K5acK12acK16ac,H3K9me2,-0.447775286,0.006989994,0.009686176
H4K5acK12acK16ac,H3K9me3K14ac,-0.52059376,0.001345661,0.009686176
H4K5acK12acK16ac,H3K9meK14ac,0.335011191,0.04915585,0.009686176
H4K5acK12acK16ac,H4K12acK16ac,0.469076019,0.004475977,0.009686176
H4K5acK12acK16ac,H4K5acK16ac,0.761842765,1.06E-07,0.009686176
H4K5acK12acK16ac,H4K5acK8acK12acK16ac,0.781364998,3.03E-08,0.009686176
H4K5acK12acK16ac,H4K5acK8acK16ac,0.817019498,2.14E-09,0.009686176
H4K5acK12acK16ac,H4K8acK12acK16ac,0.694387188,3.71E-06,0.009686176
H4K5acK12acK16ac,H4K8acK16ac,0.746686022,2.59E-07,0.009686176
H4K5acK16ac,H2A1AK5ac,0.611423754,9.54E-05,0.006671123
H4K5acK16ac,H3K18ac,0.536266066,0.000898189,0.006671123
H4K5acK16ac,H3K23ac,0.419392411,0.012145756,0.006671123
H4K5acK16ac,H3K9acK14ac,0.465952203,0.00478675,0.006671123
H4K5acK16ac,H3K9me2,-0.372321778,0.027625825,0.006671123
H4K5acK16ac,H3K9me3K14ac,-0.500489366,0.002199098,0.006671123
H4K5acK16ac,H4K12acK16ac,0.517913564,0.001439222,0.006671123
H4K5acK16ac,H4K5acK12acK16ac,0.761842765,1.06E-07,0.006671123
H4K5acK16ac,H4K5acK8acK12acK16ac,0.686436745,5.30E-06,0.006671123
H4K5acK16ac,H4K5acK8acK16ac,0.744627868,2.91E-07,0.006671123
H4K5acK16ac,H4K8acK12acK16ac,0.512071006,0.001663209,0.006671123
H4K5acK16ac,H4K8acK16ac,0.851727579,8.75E-11,0.006671123
H4K5acK8ac,H4K16ac,-0.375356541,0.026287097,0.003402634
H4K5acK8acK12ac,H2A1AK5ac,0.421670193,0.01163831,0.007953672
H4K5acK8acK12ac,H2AJK5acK9ac,-0.565028856,0.000405605,0.007953672
H4K5acK8acK12ac,H2AXK5acT6ac,-0.37037713,0.028512772,0.007953672
H4K5acK8acK12ac,H3K18acK23ac,0.36588808,0.030649737,0.007953672
H4K5acK8acK12ac,H3K9meK14ac,-0.344052398,0.042993385,0.007953672
H4K5acK8acK12ac,H4K5ac,0.536564684,0.000891128,0.007953672
H4K5acK8acK12ac,H4K5acK12ac,0.456649684,0.005824902,0.007953672
H4K5acK8acK12ac,H4K5acK8acK12acK16ac,0.361038355,0.033103959,0.007953672
H4K5acK8acK12ac,H4K8acK16ac,0.390767451,0.020287157,0.007953672
H4K5acK8acK12acK16ac,H2A1AK5ac,0.594492747,0.00016599,0.007608441
H4K5acK8acK12acK16ac,H2AXK5acT6ac,-0.436039193,0.008832835,0.007608441
H4K5acK8acK12acK16ac,H3K18ac,0.472608512,0.004145685,0.007608441
H4K5acK8acK12acK16ac,H3K23su,0.422561764,0.011444628,0.007608441
H4K5acK8acK12acK16ac,H3K9acK14ac,0.638148686,3.72E-05,0.007608441
H4K5acK8acK12acK16ac,H3K9me2,-0.452599414,0.006334102,0.007608441
H4K5acK8acK12acK16ac,H3K9me3K14ac,-0.60701324,0.000110538,0.007608441
H4K5acK8acK12acK16ac,H3K9meK14ac,0.407612076,0.015078383,0.007608441
H4K5acK8acK12acK16ac,H4K12acK16ac,0.677244658,7.89E-06,0.007608441
H4K5acK8acK12acK16ac,H4K5acK12acK16ac,0.781364998,3.03E-08,0.007608441
H4K5acK8acK12acK16ac,H4K5acK16ac,0.686436745,5.30E-06,0.007608441
H4K5acK8acK12acK16ac,H4K5acK8acK12ac,0.361038355,0.033103959,0.007608441
H4K5acK8acK12acK16ac,H4K5acK8acK16ac,0.821603659,1.46E-09,0.007608441
H4K5acK8acK12acK16ac,H4K8acK12acK16ac,0.78666224,2.11E-08,0.007608441
H4K5acK8acK12acK16ac,H4K8acK16ac,0.732428673,5.69E-07,0.007608441
H4K5acK8acK16ac,H2A1AK5ac,0.466084078,0.004773264,0.005836312
H4K5acK8acK16ac,H3K18ac,0.405357722,0.015702451,0.005836312
H4K5acK8acK16ac,H3K9acK14ac,0.428815386,0.010161257,0.005836312
H4K5acK8acK16ac,H3K9me2,-0.370812176,0.028312346,0.005836312
H4K5acK8acK16ac,H3K9me3K14ac,-0.504636503,0.001992028,0.005836312
H4K5acK8acK16ac,H3K9meK14ac,0.377074422,0.025553287,0.005836312
H4K5acK8acK16ac,H4K12acK16ac,0.576779229,0.000286928,0.005836312
H4K5acK8acK16ac,H4K5acK12acK16ac,0.817019498,2.14E-09,0.005836312
H4K5acK8acK16ac,H4K5acK16ac,0.744627868,2.91E-07,0.005836312
H4K5acK8acK16ac,H4K5acK8acK12acK16ac,0.821603659,1.46E-09,0.005836312
H4K5acK8acK16ac,H4K8acK12acK16ac,0.621009802,6.87E-05,0.005836312
H4K5acK8acK16ac,H4K8acK16ac,0.69940271,2.95E-06,0.005836312
H4K8ac,H3K18acK23ac,0.369836188,0.028763608,0.015725728
H4K8ac,H3K4me,-0.35006182,0.039253509,0.015725728
H4K8ac,H4K12ac,0.684579134,5.75E-06,0.015725728
H4K8ac,H4K5ac,0.425219481,0.010883378,0.015725728
H4K8acK12ac,H3K23ac,0.449239653,0.006785018,0.009270082
H4K8acK12ac,H3K9me2K14ac,0.398562467,0.01771606,0.009270082
H4K8acK12acK16ac,H2A1AK5ac,0.387030683,0.021625564,0.002255167
H4K8acK12acK16ac,H3K18ac,0.385628181,0.022146451,0.002255167
H4K8acK12acK16ac,H3K23su,0.505233051,0.001963692,0.002255167
H4K8acK12acK16ac,H3K9acK14ac,0.58039485,0.000257254,0.002255167
H4K8acK12acK16ac,H3K9me2,-0.406045625,0.015509765,0.002255167
H4K8acK12acK16ac,H3K9me3K14ac,-0.523438754,0.001252239,0.002255167
H4K8acK12acK16ac,H3K9meK14ac,0.550643265,0.000609075,0.002255167
H4K8acK12acK16ac,H4K12acK16ac,0.655060524,1.95E-05,0.002255167
H4K8acK12acK16ac,H4K5acK12acK16ac,0.694387188,3.71E-06,0.002255167
H4K8acK12acK16ac,H4K5acK16ac,0.512071006,0.001663209,0.002255167
H4K8acK12acK16ac,H4K5acK8acK12acK16ac,0.78666224,2.11E-08,0.002255167
H4K8acK12acK16ac,H4K5acK8acK16ac,0.621009802,6.87E-05,0.002255167
H4K8acK12acK16ac,H4K8acK16ac,0.615316121,8.36E-05,0.002255167
H4K8acK16ac,H2A1AK5ac,0.607280882,0.000109561,0.030505913
H4K8acK16ac,H3K18ac,0.580375463,0.000257406,0.030505913
H4K8acK16ac,H3K23ac,0.362207649,0.032498042,0.030505913
H4K8acK16ac,H3K9acK14ac,0.597537267,0.000150598,0.030505913
H4K8acK16ac,H3K9me2,-0.342546502,0.043974184,0.030505913
H4K8acK16ac,H3K9me2K14ac,0.356253522,0.035680202,0.030505913
H4K8acK16ac,H3K9me3K14ac,-0.575494143,0.000298189,0.030505913
H4K8acK16ac,H4K12acK16ac,0.522688918,0.00127629,0.030505913
H4K8acK16ac,H4K5ac,0.392785728,0.019593402,0.030505913
H4K8acK16ac,H4K5acK12acK16ac,0.746686022,2.59E-07,0.030505913
H4K8acK16ac,H4K5acK16ac,0.851727579,8.75E-11,0.030505913
H4K8acK16ac,H4K5acK8acK12ac,0.390767451,0.020287157,0.030505913
H4K8acK16ac,H4K5acK8acK12acK16ac,0.732428673,5.69E-07,0.030505913
H4K8acK16ac,H4K5acK8acK16ac,0.69940271,2.95E-06,0.030505913
H4K8acK16ac,H4K8acK12acK16ac,0.615316121,8.36E-05,0.030505913
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
